name,quote
Elizabeth Clarkson Zwart,"The older I grow, the less important the comma becomes. Let the reader catch his own breath."
Carl Zwanzig,"Duct tape is like the force. It has a light side, a dark side, and it holds the universe together...."
Gary Zukav,"Acceptance without proof is the fundamental characteristic of Western religion, rejection without proof is the fundamental characteristic of Western science."
Lin Yutang,"Besides the noble art of getting things done, there is a nobler art of leaving things undone. The wisdom of life consists in the elimination of nonessentials."
Lin Yutang,Peace of mind is that mental condition in which you have accepted the worst.
Evelle J. Younger,An incompetent attorney can delay a trial for months or years. A competent attorney can delay one even longer.
Henny Youngman,"I once wanted to become an atheist, but I gave up - they have no holidays."
Henny Youngman,"I take my wife everywhere, but she keeps finding her way back."
Henny Youngman,I told the doctor I broke my leg in two places. He told me to quit going to those places.
Henny Youngman,My Grandmother is over eighty and still doesn't need glasses. Drinks right out of the bottle.
Henny Youngman,"When I read about the evils of drinking, I gave up reading."
Whitney Young,The truth is that there is nothing noble in being superior to somebody else. The only real nobility is in being superior to your former self.
Patrick Young,The trouble with weather forecasting is that it's right too often for us to ignore it and wrong too often for us to rely on it.
Jane Wyman,The opportunity for brotherhood presents itself every time you meet a human being.
Lois Wyse,"Men are taught to apologize for their weaknesses, women for their strengths."
William Wrigley Jr.,"When two men in business always agree, one of them is unnecessary."
W. Emerson Wright,"No law ever written has stopped any robber, rapist or killer, like cold blue steel in the hands of their last intended victim."
Steven Wright,"Curiosity killed the cat, but for a while I was a suspect."
Steven Wright,Everywhere is walking distance if you have the time.
Steven Wright,"I bought some batteries, but they weren't included."
Steven Wright,I have an existential map. It has 'You are here' written all over it.
Steven Wright,I used to work in a fire hydrant factory. You couldn't park anywhere near the place.
Steven Wright,I was walking down the street wearing glasses when the prescription ran out.
Steven Wright,"If you shoot at mimes, should you use a silencer?"
Steven Wright,"It doesn't make a difference what temperature a room is, it's always room temperature."
Steven Wright,"It's a small world, but I wouldn't want to paint it."
Steven Wright,Last night I stayed up late playing poker with Tarot cards. I got a full house and four people died.
Steven Wright,"Last night somebody broke into my apartment and replaced everything with exact duplicates... When I pointed it out to my roommate, he said, 'Do I know you?'"
Steven Wright,Last year I went fishing with Salvador Dali. He was using a dotted line. He caught every other fish.
Steven Wright,My theory of evolution is that Darwin was adopted.
Steven Wright,There's a fine line between fishing and just standing on the shore like an idiot.
Steven Wright,What's another word for Thesaurus?
Steven Wright,"When I woke up this morning my girlfriend asked me, 'Did you sleep good?' I said 'No, I made a few mistakes.'"
Steven Wright,You can't have everything. Where would you put it?
Steven Wright,"I have a large seashell collection, which I keep scattered on the beaches all over the world. Maybe you've seen it."
Steven Wright,The first time I ever read the dictionary I thought it was a poem about everything.
Wilbur Wright,I know of only one bird - the parrot - that talks; and it can't fly very high.
Bill Lyon,"If at first you don't succeed, find out if the loser gets anything."
Russel Lynes,"Every journalist has a novel in him, which is an excellent place for it."
Martin Luther,"Music is a discipline, and a mistress of order and good manners, she makes the people milder and gentler, more moral and more reasonable."
Martin Luther,"My heart, which is so full to overflowing, has often been solaced and refreshed by music when sick and weary."
Robert Lynd,There is nothing in which the birds differ more from man than the way in which they can build and yet leave a landscape as it was before.
Joan Lunden,"Holding on to anger, resentment and hurt only gives you tense muscles, a headache and a sore jaw from clenching your teeth. Forgiveness gives you back the laughter and the lightness in your life."
Charles Luckman,The trouble with America is that there are far too many wide-open spaces surrounded by teeth.
Lucretius,Nothing can be created from nothing.
Lucretius,Such evil deeds could religion prompt.
Lucretius,"What is food to one, is to others bitter poison."
Lucretius,"If men saw that a term was set to their troubles, they would find strength in some way to withstand the hocus-pocus and intimidations of the prophets."
Henry Luce,Not much longer shall we have time for reading lessons of the past. An inexorable present calls us to the defense of a great future.
Vulgate,Behold the man.
Vulgate, (Ecce Homo)
Vulgate,"Great is truth, and all powerful."
Sarah Vowell,Even writers need relief from words.
Eric Voorhis,Kneeling over a trickling mountain stream and pumping every ounce of water you use though a filter can really change your perception of turning on a faucet.
Marilyn vos Savant,"To acquire knowledge, one must study; but to acquire wisdom, one must observe."
Kurt Vonnegut,Any reviewer who expresses rage and loathing for a novel is preposterous. He or she is like a person who has put on full armor and attacked a hot fudge sundae.
Kurt Vonnegut,"Beware of the man who works hard to learn something, learns it, and finds himself no wiser than before."
Kurt Vonnegut,I want to stay as close to the edge as I can without going over. Out on the edge you see all kinds of things you can't see from the center.
Kurt Vonnegut,"If you can do a half-assed job of anything, you're a one-eyed man in a kingdom of the blind."
Kurt Vonnegut,"Laughter and tears are both responses to frustration and exhaustion. I myself prefer to laugh, since there is less cleaning up to do afterward."
Kurt Vonnegut,"Life happens too fast for you ever to think about it. If you could just persuade people of this, but they insist on amassing information."
Kurt Vonnegut,"Say what you will about the sweet miracle of unquestioning faith, I consider a capacity for it terrifying and absolutely vile!"
Kurt Vonnegut,"Those who believe in telekinetics, raise my hand"
Kurt Vonnegut,"Beware of the man who works hard to learn something, learns it, and finds himself no wiser than before... He is full of murderous resentment of people who are ignorant without having come by their ignorance the hard way."
Kurt Vonnegut,"One of the few good things about modern times: If you die horribly on television, you will not have died in vain. You will have entertained us."
Kurt Vonnegut,"Thanks to TV and for the convenience of TV, you can only be one of two kinds of human beings, either a liberal or a conservative."
Kurt Vonnegut,"There is a tragic flaw in our precious Constitution, and I don't know what can be done to fix it. This is it: Only nut cases want to be president."
Kurt Vonnegut,Here is a lesson in creative writing. First rule: Do not use semicolons. They are transvestite hermaphrodites representing absolutely nothing. All they do is show you've been to college.
Kurt Vonnegut,Humor is an almost physiological response to fear.
Kurt Vonnegut,I think that novels that leave out technology misrepresent life as badly as Victorians misrepresented life by leaving out sex.
Kurt Vonnegut,"1492. As children we were taught to memorize this year with pride and joy as the year people began living full and imaginative lives on the continent of North America. Actually, people had been living full and imaginative lives on the continent of North America for hundreds of years before that. 1492 was simply the year sea pirates began to rob, cheat, and kill them."
Kurt Vonnegut,"New knowledge is the most valuable commodity on earth. The more truth we have to work with, the richer we become."
Kurt Vonnegut,"The chief weapon of sea pirates, however, was their capacity to astonish. Nobody else could believe, until it was too late, how heartless and greedy they were."
Kurt Vonnegut,"Charm was a scheme for making strangers like and trust a person immediately, no matter what the charmer had in mind."
Kurt Vonnegut,I can have oodles of charm when I want to.
Johann von Neumann,In mathematics you don't understand things. You just get used to them.
Johann von Neumann,"The sciences do not try to explain, they hardly even try to interpret, they mainly make models. By a model is meant a mathematical construct which, with the addition of certain verbal interpretations, describes observed phenomena. The justification of such a mathematical construct is solely and precisely that it is expected to work."
Johann von Neumann,You wake me up early in the morning to tell me I am right? Please wait until I am wrong.
Voltaire,"...the safest course is to do nothing against one's conscience. With this secret, we can enjoy life and have no fear from death."
Voltaire,A witty saying proves nothing.
